Regija,YearMonth,SO2,PM10,NO2
Pomurska,2007-06,4.0,24.0,11.0
Savinjska,2007-06,7.875,28.0,6.75
Jugovzhodna Slovenija,2007-06,,17.0,
Posavska,2007-06,5.0,22.0,
Koroška,2007-06,4.0,,
Goriška,2007-06,5.0,21.666666666666668,19.0
Osrednjeslovenska,2007-06,2.5,21.0,10.0
Podravska,2007-06,2.0,30.0,30.0
Zasavska,2007-06,6.142857142857143,26.0,13.0
Zasavska,2007-07,6.714285714285714,26.0,15.5
Podravska,2007-07,2.0,31.0,31.0
Goriška,2007-07,7.0,20.666666666666668,19.0
Osrednjeslovenska,2007-07,2.5,21.5,10.0
Jugovzhodna Slovenija,2007-07,,14.0,
Obalno-kraška,2007-07,,25.0,
Pomurska,2007-07,4.0,25.0,13.0
Posavska,2007-07,6.0,19.0,
Koroška,2007-07,5.0,,
Savinjska,2007-07,9.5,28.5,8.75
Zasavska,2007-08,6.0,22.666666666666668,14.0
Posavska,2007-08,4.0,19.0,
Koroška,2007-08,3.0,,
Podravska,2007-08,3.0,28.0,29.0
Goriška,2007-08,6.0,18.333333333333332,18.0
Obalno-kraška,2007-08,,25.0,
Pomurska,2007-08,7.0,21.0,13.0
Osrednjeslovenska,2007-08,1.5,18.5,11.0
Jugovzhodna Slovenija,2007-08,,16.0,
Savinjska,2007-08,5.875,25.5,7.25
Osrednjeslovenska,2007-09,3.5,18.5,14.5
Obalno-kraška,2007-09,,20.0,
Podravska,2007-09,3.0,34.0,33.0
Goriška,2007-09,6.0,22.5,19.0
Koroška,2007-09,3.0,,
Jugovzhodna Slovenija,2007-09,,13.0,
Pomurska,2007-09,4.0,22.0,13.0
Posavska,2007-09,5.0,19.0,
Savinjska,2007-09,3.5,24.0,7.75
Zasavska,2007-09,6.142857142857143,22.0,13.5
Koroška,2007-10,2.0,,
Osrednjeslovenska,2007-10,4.0,27.5,17.5
Pomurska,2007-10,4.0,31.0,16.0
Jugovzhodna Slovenija,2007-10,,16.0,
